City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Bluff,NZ,-46.6,168.3333,47.8,88,100,10.71,2022-10-26 17:44:00
1,Tiksi,RU,71.6872,128.8694,0.63,99,68,6.4,2022-10-26 17:44:42
2,Bengkulu,ID,-3.8004,102.2655,74.41,91,100,4.41,2022-10-26 17:44:43
3,Atuona,PF,-9.8,-139.0333,77.13,72,15,18.68,2022-10-26 17:44:43
4,Taoudenni,ML,22.6783,-3.9836,88.9,10,57,9.22,2022-10-26 17:44:44
5,Jamestown,US,42.097,-79.2353,56.01,92,100,9.22,2022-10-26 17:41:28
6,Carnarvon,AU,-24.8667,113.6333,65.93,68,0,24.09,2022-10-26 17:44:49
7,Hirara,JP,24.8,125.2833,77.11,67,93,17.69,2022-10-26 17:44:50
8,Holsted,DK,55.5109,8.9187,57.31,89,99,11.18,2022-10-26 17:44:51
9,Provideniya,RU,64.3833,-173.3,18.12,88,12,7.47,2022-10-26 17:44:52
10,Ushuaia,AR,-54.8,-68.3,49.62,71,40,8.05,2022-10-26 17:45:07
11,Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,35.68,2022-10-26 17:45:08
12,New Norfolk,AU,-42.7826,147.0587,54.91,87,100,3.2,2022-10-26 17:45:08
13,The Pas,CA,53.8251,-101.2541,30.22,74,0,13.8,2022-10-26 17:45:09
14,Pevek,RU,69.7008,170.3133,-5.96,98,31,5.46,2022-10-26 17:45:10
15,Upernavik,GL,72.7868,-56.1549,9.7,91,68,5.57,2022-10-26 17:45:10
16,Labuhan,ID,-6.8844,112.2051,76.6,88,100,12.68,2022-10-26 17:45:11
17,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,11.5,2022-10-26 17:45:11
18,Narsaq,GL,60.9167,-46.05,30.42,94,100,5.86,2022-10-26 17:45:12
19,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,20,20.71,2022-10-26 17:44:04
20,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,40,19.57,2022-10-26 17:45:13
21,Namwala,ZM,-15.7504,26.4384,84.45,27,36,4.72,2022-10-26 17:45:14
22,Dubna,RU,56.7333,37.1667,35.31,79,100,7.14,2022-10-26 17:43:39
23,Chuy,UY,-33.6971,-53.4616,70.21,84,100,13.4,2022-10-26 17:45:15
24,Adrar,MR,20.5022,-10.0711,88.21,9,95,9.91,2022-10-26 17:45:15
25,Goderich,CA,43.7501,-81.7165,53.91,93,100,16.11,2022-10-26 17:45:26
26,Rikitea,PF,-23.1203,-134.9692,73.22,84,90,15.37,2022-10-26 17:45:30
27,Panguna,PG,-6.3164,155.4848,68.85,95,84,1.03,2022-10-26 17:45:33
28,Cherskiy,RU,68.75,161.3,4.03,98,97,4.16,2022-10-26 17:45:33
29,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,88,40,19.39,2022-10-26 17:45:35
30,Pacific Grove,US,36.6177,-121.9166,59.65,74,0,8.01,2022-10-26 17:45:39
