City_ID,Date,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,2022-07-13 00:37:49,Verkhoyansk,RU,67.5447,133.385,69.91,55,0,11.12
1,2022-07-13 00:37:50,Itarema,BR,-2.9248,-39.9167,77.54,87,12,12.86
2,2022-07-13 00:37:50,Cherskiy,RU,68.75,161.3,61.2,57,27,14.09
3,2022-07-13 00:37:35,Touros,BR,-5.1989,-35.4608,75.51,87,7,11.27
4,2022-07-13 00:37:50,Juba,SS,4.8517,31.5825,71.8,82,82,2.46
5,2022-07-13 00:37:50,Ponta Do Sol,PT,32.6667,-17.1,68.63,69,48,2.98
6,2022-07-13 00:37:51,Hermanus,ZA,-34.4187,19.2345,52.61,81,1,10.0
7,2022-07-13 00:37:51,Chokurdakh,RU,70.6333,147.9167,50.86,75,100,7.34
8,2022-07-13 00:37:51,Tiksi,RU,71.6872,128.8694,36.28,94,100,7.78
9,2022-07-13 00:37:51,Saskylakh,RU,71.9167,114.0833,47.28,59,100,13.47
10,2022-07-13 00:35:31,Jamestown,US,42.097,-79.2353,73.04,64,0,8.05
11,2022-07-13 00:37:52,Sohag,EG,26.557,31.6948,83.23,35,12,16.6
12,2022-07-13 00:37:52,Lahan,NP,26.7296,86.4951,84.92,71,100,4.79
13,2022-07-13 00:37:52,Melfi,IT,40.9965,15.6514,63.5,91,99,2.15
14,2022-07-13 00:37:52,New Norfolk,AU,-42.7826,147.0587,47.91,76,20,2.82
15,2022-07-13 00:37:53,Yerbogachen,RU,61.2767,108.0108,54.12,54,100,3.6
16,2022-07-13 00:37:53,Kondinskoye,RU,59.6481,67.41,65.68,66,100,9.31
17,2022-07-13 00:37:53,Mataura,NZ,-46.1927,168.8643,44.47,98,100,6.91
18,2022-07-13 00:34:46,Georgetown,MY,5.4112,100.3354,76.98,94,20,4.61
19,2022-07-13 00:37:54,Rawson,AR,-43.3002,-65.1023,43.77,53,11,16.17
20,2022-07-13 00:37:54,Rayagada,IN,19.1667,83.4167,76.32,91,100,4.59
21,2022-07-13 00:37:54,Nanortalik,GL,60.1432,-45.2371,41.85,89,2,10.27
22,2022-07-13 00:37:55,Pevek,RU,69.7008,170.3133,34.63,97,100,19.46
23,2022-07-13 00:33:57,San Marcos,US,33.1434,-117.1661,85.14,66,0,12.66
24,2022-07-13 00:33:26,Barrow,US,71.2906,-156.7887,39.22,87,100,10.36
25,2022-07-13 00:37:55,Rikitea,PF,-23.1203,-134.9692,75.13,73,24,12.1
26,2022-07-13 00:37:55,Palmas Bellas,PA,9.2319,-80.0867,77.02,91,100,2.8
27,2022-07-13 00:37:55,Garoua Boulai,CM,5.8833,14.55,64.83,94,100,1.86
28,2022-07-13 00:37:56,Norman Wells,CA,65.282,-126.8329,62.64,72,75,20.71
29,2022-07-13 00:37:56,East London,ZA,-33.0153,27.9116,57.56,55,0,6.2
30,2022-07-13 00:37:56,Kloulklubed,PW,7.0419,134.2556,82.9,76,22,9.06
31,2022-07-13 00:37:56,Ust-Nera,RU,64.5667,143.2,63.64,95,100,2.84
32,2022-07-13 00:37:57,Port Hardy,CA,50.6996,-127.4199,59.18,67,75,6.91
33,2022-07-13 00:37:57,Saint Anthony,US,45.0205,-93.218,82.29,61,100,19.57
34,2022-07-13 00:33:06,Redlands,US,34.0556,-117.1825,102.94,28,20,11.5
35,2022-07-13 00:37:57,Amga,RU,60.8953,131.9608,70.18,77,99,3.09
36,2022-07-13 00:37:57,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,93,100,11.5
37,2022-07-13 00:36:28,Punta Arenas,CL,-53.15,-70.9167,37.51,93,100,12.66
38,2022-07-13 00:37:43,Saldanha,ZA,-33.0117,17.9442,41.05,79,0,4.07
39,2022-07-13 00:37:58,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,0,6.91
40,2022-07-13 00:37:58,Saint-Philippe,RE,-21.3585,55.7679,67.59,66,79,11.16
41,2022-07-13 00:37:41,Albany,US,42.6001,-73.9662,75.92,73,2,6.98
42,2022-07-13 00:38:58,Manzanillo,CU,20.3433,-77.1167,81.3,77,100,1.3
43,2022-07-13 00:38:59,Aklavik,CA,68.2191,-135.0107,56.28,55,52,16.02
44,2022-07-13 00:38:59,Agadez,NE,19.75,10.25,91.35,18,91,13.67
45,2022-07-13 00:37:42,Hithadhoo,MV,-0.6,73.0833,83.41,72,17,13.62
46,2022-07-13 00:38:59,Bukoba,TZ,-1.3317,31.8122,70.61,63,11,16.58
47,2022-07-13 00:34:09,Hilo,US,19.7297,-155.09,85.28,76,75,10.36
48,2022-07-13 00:36:33,Hobart,AU,-42.8794,147.3294,48.25,85,75,6.91
49,2022-07-13 00:39:00,Barmer,IN,25.75,71.3833,82.26,81,88,8.7
50,2022-07-13 00:39:00,Ushuaia,AR,-54.8,-68.3,38.86,81,75,10.36
51,2022-07-13 00:39:00,Luderitz,NA,-26.6481,15.1594,55.62,65,0,15.66
52,2022-07-13 00:39:00,Bluff,NZ,-46.6,168.3333,44.8,92,100,22.35
53,2022-07-13 00:39:01,Nikolskoye,RU,59.7035,30.7861,63.81,98,19,4.76
54,2022-07-13 00:39:01,Iqaluit,CA,63.7506,-68.5145,51.53,87,100,0.0
55,2022-07-13 00:39:01,Bengkulu,ID,-3.8004,102.2655,76.44,86,100,2.51
56,2022-07-13 00:39:01,Jiuquan,CN,39.7432,98.5174,80.26,33,12,10.4
57,2022-07-13 00:37:47,Busselton,AU,-33.65,115.3333,55.31,79,20,8.9
58,2022-07-13 00:39:02,Avarua,CK,-21.2078,-159.775,77.05,69,75,9.22
59,2022-07-13 00:39:02,The Valley,AI,18.217,-63.0578,84.06,79,100,15.55
60,2022-07-13 00:36:46,Lagoa Da Prata,BR,-20.0225,-45.5436,62.4,51,64,2.46
61,2022-07-13 00:37:26,Mar Del Plata,AR,-38.0023,-57.5575,47.08,70,0,16.11
62,2022-07-13 00:39:02,Hambantota,LK,6.1241,81.1185,77.34,94,20,8.05
63,2022-07-13 00:39:03,Atuona,PF,-9.8,-139.0333,77.77,78,22,19.6
64,2022-07-13 00:39:03,Faanui,PF,-16.4833,-151.75,78.76,66,0,7.81
65,2022-07-13 00:39:03,Chuy,UY,-33.6971,-53.4616,41.22,82,0,4.97
66,2022-07-13 00:39:03,Buraydah,SA,26.326,43.975,86.45,17,91,7.34
67,2022-07-13 00:35:03,Arlit,NE,18.7369,7.3853,91.6,26,21,5.32
68,2022-07-13 00:39:04,Puerto Escondido,MX,15.85,-97.0667,79.63,73,100,5.75
69,2022-07-13 00:39:04,Carutapera,BR,-1.195,-46.02,74.95,93,31,5.5
70,2022-07-13 00:39:04,Chunskiy,RU,56.0815,99.6342,64.99,47,100,2.13
71,2022-07-13 00:36:31,Cape Town,ZA,-33.9258,18.4232,55.38,92,100,4.0
72,2022-07-13 00:39:04,Muros,ES,42.7762,-9.0603,74.16,76,17,6.4
73,2022-07-13 00:39:05,Naushki,RU,50.3828,106.1056,69.67,53,6,3.31
74,2022-07-13 00:39:05,Kruisfontein,ZA,-34.0033,24.7314,50.97,52,0,7.27
75,2022-07-13 00:37:45,Airai,TL,-8.9266,125.4092,62.83,62,100,3.76
76,2022-07-13 00:39:05,Hualmay,PE,-11.0964,-77.6139,61.7,79,2,9.55
77,2022-07-13 00:39:06,Kodiak,US,57.79,-152.4072,54.91,88,100,5.75
78,2022-07-13 00:39:06,Clyde River,CA,70.4692,-68.5914,39.43,87,0,10.36
79,2022-07-13 00:39:06,Husavik,IS,66.0449,-17.3389,42.67,90,100,18.05
80,2022-07-13 00:39:06,College,US,64.8569,-147.8028,77.58,50,75,5.75
81,2022-07-13 00:39:07,Bodden Town,KY,19.2833,-81.25,86.0,73,20,8.05
82,2022-07-13 00:39:07,Butaritari,KI,3.0707,172.7902,82.44,71,100,18.01
83,2022-07-13 00:39:07,Zabol,AF,32.25,67.25,72.95,18,0,9.24
84,2022-07-13 00:39:08,Dikson,RU,73.5069,80.5464,39.79,83,12,1.54
85,2022-07-13 00:39:08,Bayshore Gardens,US,27.4253,-82.5904,87.98,67,20,6.91
86,2022-07-13 00:39:08,Hamilton,US,39.1834,-84.5333,85.05,59,40,11.5
87,2022-07-13 00:39:09,Mounana,GA,-1.4085,13.1586,74.48,61,74,3.13
88,2022-07-13 00:40:09,Rio Gallegos,AR,-51.6226,-69.2181,28.45,93,100,14.97
89,2022-07-13 00:40:09,Puerto Ayacucho,VE,5.6639,-67.6236,76.15,92,97,4.88
90,2022-07-13 00:40:09,Mashhad,IR,36.297,59.6062,69.94,46,0,0.0
91,2022-07-13 00:40:10,Chernyshevskiy,RU,63.0128,112.4714,54.03,54,86,6.06
92,2022-07-13 00:40:10,Cidreira,BR,-30.1811,-50.2056,52.61,70,85,7.94
93,2022-07-13 00:40:10,Guerrero Negro,MX,27.9769,-114.0611,68.54,76,48,14.5
94,2022-07-13 00:40:11,Sarangani,PH,5.4033,125.4636,81.23,80,83,6.49
95,2022-07-13 00:39:07,Bethel,US,41.3712,-73.414,82.49,65,40,5.75
96,2022-07-13 00:36:39,Port Alfred,ZA,-33.5906,26.891,57.51,62,0,10.29
97,2022-07-13 00:38:26,Vila Velha,BR,-20.3297,-40.2925,73.35,85,0,9.22
98,2022-07-13 00:40:11,Gosainganj,IN,26.5833,82.3833,91.04,53,16,10.8
99,2022-07-13 00:40:11,Xapuri,BR,-10.6517,-68.5044,80.64,59,89,0.72
100,2022-07-13 00:40:11,Komsomolskiy,UZ,40.4272,71.7189,68.72,56,100,29.93
101,2022-07-13 00:40:12,Poum,NC,-20.2333,164.0167,76.82,84,100,17.63
102,2022-07-13 00:40:12,Mahebourg,MU,-20.4081,57.7,69.26,66,76,13.11
103,2022-07-13 00:40:12,Tasiilaq,GL,65.6145,-37.6368,46.56,81,98,5.39
104,2022-07-13 00:40:13,Thompson,CA,55.7435,-97.8558,75.36,35,20,3.44
105,2022-07-13 00:40:13,Castro,BR,-24.7911,-50.0119,52.12,79,20,1.63
106,2022-07-13 00:40:13,Trapani,IT,37.8333,12.6667,72.9,73,0,4.61
107,2022-07-13 00:40:13,Qaanaaq,GL,77.484,-69.3632,40.98,76,99,3.96
108,2022-07-13 00:40:14,Walla Walla,US,46.0646,-118.343,99.86,33,0,5.01
109,2022-07-13 00:40:14,Mogocha,RU,53.7333,119.7667,60.33,95,100,2.46
110,2022-07-13 00:40:14,Whitefish,US,48.4111,-114.3376,89.51,35,0,10.36
111,2022-07-13 00:40:15,Provideniya,RU,64.3833,-173.3,51.91,82,0,15.99
112,2022-07-13 00:40:15,Ponta Delgada,PT,37.7333,-25.6667,73.51,83,75,10.36
113,2022-07-13 00:40:15,Souillac,MU,-20.5167,57.5167,69.37,63,52,12.44
114,2022-07-13 00:40:15,Ribeira Grande,PT,38.5167,-28.7,70.23,91,96,8.7
115,2022-07-13 00:40:16,Majene,ID,-3.5403,118.9707,81.32,74,68,8.05
116,2022-07-13 00:40:16,Diamantino,BR,-14.4086,-56.4461,73.31,53,82,1.74
117,2022-07-13 00:40:16,Marawi,PH,7.9986,124.2928,77.63,76,72,1.86
118,2022-07-13 00:40:16,Kushima,JP,31.4583,131.2333,86.54,67,99,4.61
119,2022-07-13 00:40:17,Nizhniy Baskunchak,RU,48.2198,46.8311,80.74,46,100,4.81
120,2022-07-13 00:40:17,Esperance,AU,-33.8667,121.9,54.66,55,0,11.18
121,2022-07-13 00:40:17,Sembe,CG,1.6481,14.5806,72.21,84,100,2.66
122,2022-07-13 00:40:18,Young,UY,-32.6833,-57.6333,41.61,78,1,5.68
123,2022-07-13 00:40:18,Rosarito,MX,32.3333,-117.0333,78.66,71,84,9.66
124,2022-07-13 00:40:18,Galveston,US,29.3669,-94.9669,91.51,74,0,13.8
125,2022-07-13 00:40:18,Krasnaya Gora,RU,52.9995,31.6023,54.77,84,100,21.0
126,2022-07-13 00:40:19,Mount Gambier,AU,-37.8333,140.7667,51.78,73,46,4.29
127,2022-07-13 00:40:19,Sola,VU,-13.8833,167.55,86.67,66,40,9.22
128,2022-07-13 00:40:19,Yellowknife,CA,62.456,-114.3525,70.32,56,75,11.5
129,2022-07-13 00:40:20,San Rafael,AR,-34.6177,-68.3301,48.52,34,0,8.9
130,2022-07-13 00:40:20,Miles City,US,46.4083,-105.8406,88.77,25,0,11.5
131,2022-07-13 00:40:20,Lebu,CL,-37.6167,-73.65,48.06,72,100,6.22
132,2022-07-13 00:40:20,Marzuq,YE,14.4,46.4667,77.54,40,100,2.13
133,2022-07-13 00:40:21,Talnakh,RU,69.4865,88.3972,49.21,45,24,19.48
134,2022-07-13 00:40:21,Kapaa,US,22.0752,-159.319,84.52,71,20,16.11
135,2022-07-13 00:41:21,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.46,96,86,1.57
136,2022-07-13 00:41:22,Jasa Tomic,RS,45.4469,20.8553,57.25,52,96,7.94
